Country,State,Region,Cases,Status,Date
USA,Maryland,"Baltimore City, Maryland, US",5664,confirmed,2020-05-31T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5604,confirmed,2020-06-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5688,confirmed,2020-06-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5801,confirmed,2020-06-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5906,confirmed,2020-06-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6038,confirmed,2020-06-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6141,confirmed,2020-06-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6229,confirmed,2020-06-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6296,confirmed,2020-06-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6355,confirmed,2020-06-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6428,confirmed,2020-06-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6509,confirmed,2020-06-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6559,confirmed,2020-06-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6633,confirmed,2020-06-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6689,confirmed,2020-06-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6747,confirmed,2020-06-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6782,confirmed,2020-06-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6866,confirmed,2020-06-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6906,confirmed,2020-06-18T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6938,confirmed,2020-06-19T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6993,confirmed,2020-06-20T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7053,confirmed,2020-06-21T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7095,confirmed,2020-06-22T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7148,confirmed,2020-06-23T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7210,confirmed,2020-06-24T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7258,confirmed,2020-06-25T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7299,confirmed,2020-06-26T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7363,confirmed,2020-06-27T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7416,confirmed,2020-06-28T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7498,confirmed,2020-06-29T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7546,confirmed,2020-06-30T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7605,confirmed,2020-07-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7701,confirmed,2020-07-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7789,confirmed,2020-07-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7857,confirmed,2020-07-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7897,confirmed,2020-07-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7960,confirmed,2020-07-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8000,confirmed,2020-07-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8071,confirmed,2020-07-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8155,confirmed,2020-07-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8249,confirmed,2020-07-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8367,confirmed,2020-07-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8489,confirmed,2020-07-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8566,confirmed,2020-07-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8689,confirmed,2020-07-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8835,confirmed,2020-07-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8998,confirmed,2020-07-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9141,confirmed,2020-07-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9284,confirmed,2020-07-18T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9428,confirmed,2020-07-19T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9505,confirmed,2020-07-20T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9644,confirmed,2020-07-21T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9738,confirmed,2020-07-22T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9842,confirmed,2020-07-23T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10001,confirmed,2020-07-24T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10210,confirmed,2020-07-25T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10353,confirmed,2020-07-26T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10579,confirmed,2020-07-27T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10702,confirmed,2020-07-28T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",10826,confirmed,2020-07-29T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11004,confirmed,2020-07-30T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11192,confirmed,2020-07-31T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11406,confirmed,2020-08-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11577,confirmed,2020-08-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11748,confirmed,2020-08-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11844,confirmed,2020-08-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",11953,confirmed,2020-08-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12075,confirmed,2020-08-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12239,confirmed,2020-08-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12375,confirmed,2020-08-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12547,confirmed,2020-08-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12704,confirmed,2020-08-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12893,confirmed,2020-08-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",12991,confirmed,2020-08-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13063,confirmed,2020-08-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13210,confirmed,2020-08-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13341,confirmed,2020-08-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13425,confirmed,2020-08-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13507,confirmed,2020-08-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13566,confirmed,2020-08-18T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13643,confirmed,2020-08-19T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13708,confirmed,2020-08-20T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13804,confirmed,2020-08-21T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13897,confirmed,2020-08-22T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",13981,confirmed,2020-08-23T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14072,confirmed,2020-08-24T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14110,confirmed,2020-08-25T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14172,confirmed,2020-08-26T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14243,confirmed,2020-08-27T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14312,confirmed,2020-08-28T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14383,confirmed,2020-08-29T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14424,confirmed,2020-08-30T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14478,confirmed,2020-08-31T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14535,confirmed,2020-09-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14569,confirmed,2020-09-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14626,confirmed,2020-09-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14692,confirmed,2020-09-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14767,confirmed,2020-09-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14834,confirmed,2020-09-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14962,confirmed,2020-09-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",14994,confirmed,2020-09-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15037,confirmed,2020-09-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15092,confirmed,2020-09-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15162,confirmed,2020-09-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15183,confirmed,2020-09-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15254,confirmed,2020-09-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15299,confirmed,2020-09-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15236,confirmed,2020-09-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15085,confirmed,2020-09-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15129,confirmed,2020-09-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15177,confirmed,2020-09-18T00:00:00Z
